plasmid_0;109+
plasmid_1;16+,123-,296-,322+,214-,98+,145+
plasmid_2;171+,94+,149+,290+,220-
plasmid_3;134-,102+,152-
plasmid_4;206-,210+,205-,278-,83+,238+,307+
plasmid_5;220+,289-,149-,146+,107+,131+,288-,103+,201+,219+,215+,211+,194-,209+,269-,272-,171-
plasmid_6;222-,256+,205-,278-,216-,234+,243-,305+,271+,100+,206+
plasmid_7;183+,229-,264-,79+,284-,301+,147-
plasmid_8;166+,237+,312+,193-,283-,73-,193+,313-,251+,146+,287-,262-,151-,214-,17-,296+,123+,151+,112+,106-,23-,317+,212-,216-
plasmid_9;128-,69+,175-,278+,205+,256-,222+
plasmid_10;128-,304-,119+,70+,214+,151+,286+,111-,142-
plasmid_11;263+,175+,28+,231-,280-,203-,282+,176-,275-,232-,179+,204-,266+,246-,64+,314+,212-,216-
plasmid_12;127+,315+,212-,216-
plasmid_13;22-,287+,146-,251-,313+,193-,283-,241+,254+,306+,200+,137-,36+,164-,170-,178+,93+
plasmid_14;216+,212+,318-,88+,243+,238+,307+
plasmid_15;192+,76+,166-
plasmid_16;185-,84+,197+,108-
plasmid_17;75+,95+,152-
plasmid_18;188+,99+,160-,225-,221-
plasmid_19;216+,212+,162-,35+,205+,256-,222+
plasmid_20;75+,101+,206+
plasmid_21;101+,206+
plasmid_22;307-,238-,243-,305+,271+,120+,244+,294-,156+,217-,154-
plasmid_23;115+
plasmid_24;279-,231+,143+,175-,263-
plasmid_25;221+,224+,160+,91-,188-
plasmid_26;293-,214+,151+,286+,159+,173+,190+,227+,165-
plasmid_27;208+,297-,167+
plasmid_28;311-,12+,129+,2-,320-,116+
plasmid_29;254-,63-,129+,49-,164-,226+,104+,181+,178+
plasmid_30;41+,131+,242-,264+,151-,123-
plasmid_31;140-,31+,131+,82+,134+
plasmid_32;245-,309+,139+,131+,288-,121+,104+,141-,182-,184-,233-
plasmid_33;131+,150-,122+,323-,223+,260+
plasmid_34;158-,283+,193+,312-,251+,146+,287-,80+
plasmid_35;123+,87-
plasmid_36;38+,137+,200-,306-,254-,135-
plasmid_37;140-,72+,137+,200-,306-,254-
plasmid_38;200-,306-,254-,27+,137+
plasmid_39;264-,50-,137+,200-,306-,254-
plasmid_40;9-,137+,200-
plasmid_41;32+,137+,200-
plasmid_42;42-,137+,200-
plasmid_43;287-,45+,137+,200-
plasmid_44;268-,258+,137+,200-
plasmid_45;189-,47-,122+,61+,285+
plasmid_46;134-,3-,122+,81-,254+
plasmid_47;191+
plasmid_48;148+,56+,174-
plasmid_49;148+
plasmid_50;168-,153-,206+
plasmid_51;222-,319+,216+,212+,317-,23+,106+,85-
plasmid_52;216+,212+,314-,105+,271-,305-,243+,238+,307+
plasmid_53;212+,317-,168+
plasmid_54;212+,318-
