plasmid_0;135+
plasmid_1;137+,25-,51+,165+,234+,232-,82+,217+,121+,200+,160+,216-,259-,136+,103+,187+,147+
plasmid_2;251-,252+,2-,87-,81-,87+,42+,87+,56+,87+,61-,87-,55+,87-,96+,43+,221-,162+,71-,174+
plasmid_3;109+,51-,65+,68-,110-,258-,58-,47-,86-,126+,213+,189+,88+,183-
plasmid_4;98+,258-,58-
plasmid_5;58+,172-,242+,70+,142+,141-,94+,171+,131-,212-
plasmid_6;172-,243+,70+,140-,141-,93+,171+,130-,212-
plasmid_7;93+,171+,131-
plasmid_8;113+,175-,157-,193-,24+,178-,237+,89+,264-,143-
plasmid_9;190+,227+,246-,218+,34-,68+,14+,67-,59-,10-,91-,60+,112+,63-,67-,124-,175-,156+,193-,32-,106+
plasmid_10;248-,245-,155+,76-,206+,44+,117+
plasmid_11;43+,221-,162+,71-,174+
plasmid_12;211-,90-,85+,84-,78-,210+
plasmid_13;137+,41+,155-,245+,248+
plasmid_14;105+,203+,151+,75+,192-,122+
plasmid_15;120+,200+,159-,216-,257-,136+,104-,187+,234+
plasmid_16;132-,271-,22+
plasmid_17;268-,184+,205-,267-,184+,1-,68+,26+
plasmid_18;54+,107+,9+,166+,67-,39+,59+,166-,231+,117+
plasmid_19;66+,170+
plasmid_20;173+,102+,101-,166+,59-,7-,91-,112+,12+
plasmid_21;4-,91-,112+,36-,166+,59-,62-,268-
plasmid_22;132-,271-,11+,57-,40+,166+,59-,53+,127+
plasmid_23;166+
plasmid_24;52+,225+,152+
plasmid_25;52+
plasmid_26;64-,57+,15+,87+,207-,148-
plasmid_27;262-,6-,57+
plasmid_28;87+,207-,148-
plasmid_29;106+
plasmid_30;219-,155+,49-,69+,27+,215+
plasmid_31;219-,155+,33+,204-,17+,154+
plasmid_32;155+,74-,155-
plasmid_33;72-,271+,132+
plasmid_34;30+,69+,3-,271+,132+
plasmid_35;99+
