plasmid_0;116+,264+
plasmid_1;177+,113-,141+,184+,86+,241-,237+,208+,266+,264-,72-,218-,303-,193-,342+,200-,117-,280+,326-,264-,140-,176+,256-,140-,188-,128+,269-,317-
plasmid_2;195-,227-,105+,167+,124-,58+,316-,330-,279-,189-
plasmid_3;60-,167+,264+,326+,280-,208-,308+,238+,241+,317+,269+,148-,143+,169+,253+,247-,118+
plasmid_4;75+
plasmid_5;192+,309+,97+,195+
plasmid_6;280-,208-,308+,238+,82+,200+,343+,193+,303+,218+,152-,264+,266-,208-
plasmid_7;320+,307-,89+,132-,98-,147+,320+,306+,150+,143+,158+,194-,305-,320-
plasmid_8;218+,308-,208+,266+,73-,130-,299+,64-,132+,81+,343+,193+,304+,218+,92+,218-
plasmid_9;202+,293-,91-,129+,120+,269-,317-,241-,238-,308-,208+,266+,264-,57-,123-,40+
plasmid_10;27+,130-,198-,162-,298-,23-,122+,19+
plasmid_11;143-,88+,158-,143-,80+
plasmid_12;88+,158-
plasmid_13;212-,311+,180-,114-,177-,155+,141-,270+,172+,83+
plasmid_14;190+,76+,248-,274-,273-,277-,240-,224-,255+
plasmid_15;175-,61+,268-,317-,241-,238-,308-,208+,266+,264-,99+,155-,177+,21+,268-
plasmid_16;287-,205+,329+,178+,230-
plasmid_17;38+,122+,142-,259+,187-,261-
plasmid_18;160-,42+,122+,12+
plasmid_19;160-,137-,147-,63+,122+,69+
plasmid_20;70-,221+,203-,185+,325-
plasmid_21;212-,311+,180-,254+,296+,161+,221+,319+,190-
plasmid_22;298+,162+,198+,130+,17+,147+
plasmid_23;30+,147+
plasmid_24;160-,28-,147+
plasmid_25;163-,275-,71+,123-,13+,110+,85-,129-,77+,147+
plasmid_26;33-,335+,123-,115+,147+
plasmid_27;163-,275-,25+,147+
plasmid_28;149-,147+
plasmid_29;163-,275-,24+,124+
plasmid_30;177-,155+,141-,15+,299-,130+,108-,129+,101-,124+
plasmid_31;32+,299-,130+,174+
plasmid_32;196-,299-,130+,41-,141+,184+,100-,158-
plasmid_33;74+,299-,130+,51-
plasmid_34;163-,141+,184+,6+
plasmid_35;163-,141+,184+,46-,184-
plasmid_36;163-,141+,184+,31+,297-
plasmid_37;163-,141+,184+,68+,141+
plasmid_38;184+,14-,297-
plasmid_39;184+,67+,160+
plasmid_40;184+,37+
plasmid_41;44+,110+,53+,265+
plasmid_42;2+,123+,45+,315-
plasmid_43;297+,79-,123+,145-
plasmid_44;66+,275+,163+
plasmid_45;62+,275+,163+
