plasmid_0;131+
plasmid_1;173+,123-,128+,104-,149-,173+,112+,159+,164-,180-,182-,186+,169+,85+,163-,164-,171-,169+,62-,136-,108+
plasmid_2;171-,103+,171+,164+,163+,181+,170-,134+,135-,151-,170+
plasmid_3;176+,37-,132+,53+,145+,28-,133+,88-,135+,95-,116+,159+,160-,36+,142-,98+,141-,97+,169-,186-,182+,180+,164+,159-,110+,170+,181-,163-,164-
plasmid_4;165-,19-,141-,129-,141-,97+,169-,186-,182+,180+,164+,163+,181+,81+,160+,159-,90-,168+,182+
plasmid_5;180-,182-,186+,169+,111+,180+,164+,163+,181+,170-,114+,149-,174+,93-,170+
plasmid_6;169+,127+,170+,181-,163-,164-,180-
plasmid_7;181-,163-,164-,180-,182-,186+,169+,22+,130+,89+,128-,34+,140-,78+,155-,161-,61-,135+,12+,179+,174-,149+,26-,144+,21+,141+
plasmid_8;163-,164-,180-,182-,186+,169+,82+,169-
plasmid_9;70+
plasmid_10;72+
plasmid_11;185-,10+,155-,161-,162-,102+,137+,125+
plasmid_12;168-,90+,159+,160-
plasmid_13;115+
plasmid_14;83+
plasmid_15;149+,96+,140-,73+,152-,69-,167+,138+,51+,44+,149-
plasmid_16;99+,135-,107-,140+,92-,167+,138+,101+,94+
plasmid_17;31-,135-,33-,140+,80-,130-,52-,167+,138+,27-,172+
plasmid_18;67-,140+,47+,158-
plasmid_19;1+,184+,145+,146-,140+,42+,177+
plasmid_20;144-,20+,135-,43-,138+,64-,142+,57+,184+,145+,143-,140+,148-,147+,135+,8-,130-,11-,147+
plasmid_21;140+,121+,156-
plasmid_22;178+,184+,145+,39+,133+,86-,142-
plasmid_23;178+,184+,145+,60+,152+,166+,40-
plasmid_24;152+,166+,46-
plasmid_25;145+,32-,138-,167-,6+
plasmid_26;145+,77+,137+,153+,120+,2-,183-
plasmid_27;142+
plasmid_28;164-,180-,182-,168-,100-,159+
plasmid_29;159+,164-,180-,182-,186+
plasmid_30;24+,167+,138+,5-,172+
plasmid_31;154-,172+,162+,161+,155+,25+,137+
plasmid_32;158+,109+,132+,113-
plasmid_33;124-,144-,30+,132+
plasmid_34;54+,132-,139+,132+,9-
plasmid_35;23+,130+,18-
plasmid_36;117+,130+,68+
plasmid_37;45-,130+,122+
plasmid_38;58-,130+
plasmid_39;150-,172+,162+,161+,155+,15+,175-
plasmid_40;172+,162+,161+,155+,41+
plasmid_41;172+,162+,161+,155+,91-,144-
plasmid_42;172+,162+,161+,155+
