plasmid_0;257-,398-,167-,152+,180+,178+,444+
plasmid_2;458-,73+,229+,282+,330+,307+,299-
plasmid_3;421-,72-,514-,169+,380+,128+,93+,229+,291+,330+,308-,299-
plasmid_4;456-,132-,376+,196-,97+,456+
plasmid_5;142+
plasmid_7;196-,186+,197-
plasmid_8;405-,278-,491+,166+
plasmid_9;378-,445-,110+,292-
plasmid_10;292+,101+
plasmid_11;99+,461-
plasmid_12;131+,196+,429-,185+,368-,410+,463+,349+
plasmid_13;103+,416+,452+,470+,397+,348-,406-,498-,409-,468-,278-,491+,465+,309+,287+,336-,371-,390-,383-,195+,384-,390+
plasmid_16;204+,184+
plasmid_17;155+
plasmid_18;236+,283+,363+,316+,260+,347-,268-,338-,314-,214-,254-,228-,77+,167+
plasmid_19;432+,54+,173-,510+,161+,423-,491-,278+,468+,409+,498+,419-,505-,348+,397-,470-,452-,90-,171-,133+
plasmid_20;349-,463-,410-,118+,137+,153+,304-
plasmid_21;420+,337+,350-,170+,391-,482+,339+,508+,478+,446+,86+,368-,410+,463+,349+
plasmid_22;321-,472-,382+,482+,339+,508+,478+,126+
plasmid_23;349-,354-,401+,179+,203-
plasmid_24;306+,382+,482+,339+,508+,478+,446+,434-,82+,217-
plasmid_25;337+,56+,401-,417+,313+
plasmid_26;423-,491-,278+,468+,409+,498+,419-,505-,348+,397-,470-,366+,267-,193+,378-,445-,106+
plasmid_27;429-,458-,123+,379-,267-,193+,378-,445-,154+,143+,226+,476-,421+
plasmid_28;69+,241+,516-
plasmid_29;194+,198-,210-,241-,187-,222+,491-,278+,468+,409+,498+,419-,505-,348+,397-,470-,452-,416-,149+,368-,410+,463+,349+
plasmid_30;293-,206+,329+,100+,169-,514+,317-,143+,102+
plasmid_31;359+,502+,473+,275+,147+,458+,429+
plasmid_32;233-,117+
plasmid_33;115+
plasmid_36;160+
plasmid_37;89+,211-,276-,334+,400+,232+
plasmid_38;209+,518+,332+,474+,70+,235+,520+,422+,343+,397-
plasmid_39;116+
plasmid_40;451+,394+,450+,443-,386-,111+
plasmid_42;424+,145+
plasmid_43;233-,79+,432-,446-
plasmid_44;424+,119+,368-,410+,463+,349+
plasmid_46;148+
plasmid_48;306+,382+,482+,339+,508+,478+,446+,434-,177+,353-
plasmid_89;205+,389+,190+,107+,295+,357-,270+,365-
plasmid_90;205+,388+,190+,461-
plasmid_99;495-,170+,230-,337-
