plasmid_0;113+,257+
plasmid_1;262-,257-,138-,174+,255-,138-,184+,126+,253-,239-,235-,203-,262-,73+,128+,194-,160-,297+
plasmid_2;191+,225+,103+,167+,122+,59-,314+,326-,272+,185+
plasmid_3;115+,245+,252-,169-,140+,145+,253-,239-,237-,307-,203-,262-,257-,58+,121+,39+,245+
plasmid_4;191+,96+,308-,188+
plasmid_5;196-,340+,189-,303+,215-,72+,257+,262+,203+,307+,237+,81+
plasmid_6;317+,306-,88-,130+,97+,144+,317+,305+,147+,140-,156-,190-,304-,317-
plasmid_7;208-,309+,178+,111+,175-,153-,139+,263-,171+,82+
plasmid_8;173-,128+,296+,64-,130-,80-,341-,189-,303+,215-,91+,215+,302+,189+
plasmid_9;153-,20+,139-,182-,85+,239-,237-,307-,203-,262-,257-,148+,215+,303-,189+,341+,196+,114-,273-,9-,139-,153+,175+,16+
plasmid_10;198-,287-,90-,127-,117+,253-,239-,237-,307-,203-,273-,325-,257-,167-,61-
plasmid_11;186+,75+,246+,268+,265+,269+,238-,331-,212+,282-
plasmid_12;158-,36+,167+,257+,325+,273+,203+,307+,215+,302+,189+,341+,196+,79+,140-,156-,98-,182+,139+,151-,123-
plasmid_13;104+
plasmid_14;140+,87+,156+,140+,38+,119+,18+
plasmid_15;140+,87+,156+,140+,34-,293+
plasmid_16;17-,156+,140+,87+,156+
plasmid_17;87+,156+
plasmid_18;325+,273+,203+,307+,237+,239+,253+,143-,308-,188+
plasmid_19;273+,203+,307+,237+,239+,253+
plasmid_20;237+
plasmid_21;207+,200+,329+,176-,227+
plasmid_22;207+,200+
plasmid_23;21-,119+,35-,139-,182-,6+
plasmid_24;158-,135+,144-,63+,119+,69+
plasmid_25;186+,7+,144+
plasmid_26;219+,53+,144+
plasmid_27;28+,144+
plasmid_28;158-,26+,144+
plasmid_29;313+,44-,121+,13-,108+,84+,127+,76+,144+
plasmid_30;162-,267-,23-,144+
plasmid_31;154+,144+
plasmid_32;122+,22-,267+,162+
plasmid_33;122+,99-,127+,106+,128+,296+,15-,139-,182-,45+,182+
plasmid_34;202+,33-,128+,295-,30+,186-
plasmid_35;294-,29-,182+,139+,40-,128+,295-,86-
plasmid_36;25+,128+,296+
plasmid_37;291-,14-,182+,139+,4+,281-
plasmid_38;139+,68-,182+,139+,62-,267+,162+
plasmid_39;157+
plasmid_40;186+,316-,219+,159+
plasmid_41;43-,108+,54-,260+
plasmid_42;108+
plasmid_43;31+,334+,121+,2-
plasmid_44;162-,267-,71-,121+,112-
plasmid_45;46+,334+,121+,78+,291+
plasmid_46;191+,225+,133-,279+
plasmid_47;191+,225+
plasmid_48;158-,67-,182+
plasmid_49;37-,182+
plasmid_50;301-,83-,182+
