plasmid_0;282+,108+
plasmid_1;282+,82-,270+,159-,300-,359-,314-,175-,129-,254-,244-,237+,240+,322+,319-,318-,115+,138+,179+,138+,282-,352-,303-,81-,124-,97+,259+,183-
plasmid_2;237+,240+,322+,350-,339+,318-,85+,147-,227+,264-,279+,163-,140+,278+,264+,228-,321+,125-,71+,224+,280-,248-,291-,189+
plasmid_3;153-,101+,304+,260+
plasmid_4;339+,318-,275+,173-,128+,241+,305-
plasmid_5;127-,368-,270-,328-,96+,328+
plasmid_6;237+,240+,322+,350-,339+,318-,103+,282-,352-,303-
plasmid_8;151+,64+,283-,149+
plasmid_9;203+,346-,95+,260+
plasmid_10;271+,75+,199+
plasmid_11;258-,332+,320-,214-,312+,137+,304+,260+
plasmid_12;149-,317-,327-,37+
plasmid_13;149-,317-,327-,27+,151-
plasmid_14;30+,374+,139+
plasmid_15;335+,123+,213-
plasmid_16;282+,120+,122+
plasmid_17;200+,76-,290-,315+,195-,171-,287-,236-,353-,59+,353+
plasmid_18;210+,326-,90+,236+,288-,171+,195+,315-
plasmid_19;110+,327+
plasmid_21;157-,351-,245-,265-,229+,308-,84-,148-,293+,194+,342+,68+,126-,134+,202+,295-
plasmid_22;183+,259-,105+,271-
plasmid_23;339+,318-,78+
plasmid_24;200+,311+,191+,109+,282-
plasmid_25;149-,283+,106+,199+,363+,216-,247-,242-
plasmid_28;282+,100+,282-
plasmid_29;19+,329+
plasmid_30;282+,155+,167+,261-,223-
plasmid_32;276+,354+,92+,276-
plasmid_33;284+,114+
plasmid_35;180+,343+,194-,188-,323+,191+,40+,194-,293-
plasmid_36;111+
plasmid_37;282+,65+,144-,135+
plasmid_47;375+,159-,300-,126+
