plasmid_0;164+
plasmid_1;162+,250-,31-,142-,157+,200+,84+,82-,275-,233+,311-,287-,68+,55-,237-
plasmid_2;263-,265+,211+,118-,102+,148-,247-,114-,295+,68+,242-,172+,211+,116+,102+,149+,247-,97+
plasmid_3;113+,65+,235+,113+,67-,113-
plasmid_4;113+,47+,235+,113+,96-,113-
plasmid_5;249+,181+,45-,142-,156+,200+,83+,82-,276-,233+,287-,68+
plasmid_6;90-,103-,92+,163+,86-,239+,125+,127+,129-,238-,122-,244-,61-,146+
plasmid_7;140+,202+,185-,219-,30-,137-,251+
plasmid_8;163+,101-,239+,126+,127+,128-,238-,121+,244-,74+,146+
plasmid_9;235-,169+,182+,309+,228+,235-,71+,235+
plasmid_10;235-,46+,235+
plasmid_11;132-,34-,219+,186-,202-,152-,79-,73+,139+,70+,105+,22+
plasmid_12;249+,181+,87+,241-,49+,119+,261-,253-,264+,231+
plasmid_13;68-,295-,189-,175+,80+,54+
plasmid_14;93-,103+,89+,134+,160-,250-,51+,110+
plasmid_15;167+,131+,111-,180-,88-,283-,217-,99+,191-
plasmid_16;237+,48+,265-
plasmid_17;191+,107+,217+,282+,88+,179+,111+,130+,167-
plasmid_18;107+
plasmid_19;64+
plasmid_20;256+,182+,307-,25+
plasmid_21;134+
plasmid_22;256+,182+,43-,79+,69+,42+,79-,195-,262+,119+,254+
plasmid_23;213-,258-,280-,248+,37-,80+,16+,278+,281-
plasmid_24;78+,2+,80+,27-
plasmid_25;80+
plasmid_26;199+,77+
plasmid_27;63+,133+,9+,195+,69+,6-,105-,139-,12-
plasmid_28;201-,124-,120-,195+,69+,53+
plasmid_29;256+,182+,307-,10-,66+,44+,195+,69+,62+,153-
plasmid_30;39+,139+,105+,11+
plasmid_31;176+,255+,60+
plasmid_32;60+
plasmid_33;17-,66+,75-
plasmid_34;66+,5-
plasmid_35;132+
plasmid_36;284-,278-,181+,58-,100-
plasmid_37;284-,278-,181+,85-,181-
plasmid_38;167+,130-
plasmid_39;256+,182+,310+,76+
plasmid_40;256+,182+,310+,3+
plasmid_41;115+
