plasmid_0;66+
plasmid_1;199+,445-,472+,105-,113+,80+,352-,355-,324+,412-,316-,430-,380+
plasmid_2;199+,26+,213-,147+,131-,194-,159+,138+,126+
plasmid_3;84-,70-,305+,84-,193+,213-,146+
plasmid_4;127+,474+,423-,8+,456+,102-,69+
plasmid_5;358-,175-,279-,238-,77+,367-,432+,267+,378+,436-,442-,1+,178-,86+,226+,439-,347-,408+,390+,11+,480+,102-,61+
plasmid_6;308-,165+,259-
plasmid_7;435-,216+,123-,367-,258-,282+
plasmid_8;62+,413+,443+,364+,434+,422+,459+,390-,408-,347+,441-,226-,178+,94-,486-
plasmid_9;432+,268+,378+,437-,438-,98-,442+,436+,378-,267-,432-,367+,293-,170+,63-,100-,166+,259-
plasmid_10;309-,270+,444+,364+,434+,422+,125+,356+,348+,260+,414+,71+,132+,166-,100+,54-,411-,361-,230+,189-,433-,278+
plasmid_11;287+,475+,67+,87+,245+
plasmid_12;87+,245+
plasmid_13;287+,58+,230+,189-,433-,278+
plasmid_14;422+,125+,356+,348+,260+,414+,207+,511+,211+
plasmid_15;107+,53+,137-,105+,469+,342-,47-,442+,436+,378-,267-,432-,367+,76-,427+,349+,218+,425-,411-,342+
plasmid_16;127+,474+,423-,9+,367-,432+,268+,378+,437-,442-,20+,399-,417-,418-
plasmid_17;127+,5-,367-,432+,268+,378+,437-,442-
plasmid_18;57+,99-,37-,519-,367-,432+,268+,378+,437-,442-
plasmid_19;521-,383+,18+,367-,432+,268+,378+,437-,438-,51-,499+,504-,480+,102-,29+
plasmid_20;479+,111-,38-,99-,52-,367-,432+,268+,378+,437-,442-
plasmid_21;438-,28-,367-,432+,268+,378+,437-,438-,31-,362+,231-,262+,128-,312+,402-,428-,188-,317+,161-
plasmid_22;378+,437-,442-,83+,367-,432+,268+
plasmid_23;68-,367-,432+,268+
plasmid_24;437-,438-,30-,176-,4+,519-,367-,432+,268+
plasmid_25;79+
plasmid_26;367+,41+,367-,432+,267+
plasmid_27;137+,59+,346+,220-,115-,290+,372+
plasmid_28;65+,427+,349+,218+
plasmid_29;305+
plasmid_30;211-,512+,207-,223+,516-
plasmid_31;223+,32+,509+,456+,102-,36-
plasmid_32;107+,45-,225+,200+,381+
plasmid_33;107+,50+
plasmid_34;107+
plasmid_35;367+,72+,442+
plasmid_36;280-,251+,239+,109+,385-,114-,307-,3-,132+,166-,308+
plasmid_37;118+,34-,132+,166-,308+
plasmid_38;287+,475+,12+,102+,456-,509-,7+,97+,96+
plasmid_39;166+
plasmid_40;171+
