plasmid_0;64+
plasmid_1;133-,164-,120-,89-,118-,72-,118+,161+,154-,176-,107+
plasmid_2;104+,27+,88+,75+,101-,18-,101-,55-,130-,159-,134+
plasmid_3;121+,179+,66+,173-,111+,191+,112+
plasmid_4;118+,161+,154-,176-,92+
plasmid_5;134-,160+,130+,171-,172+,189-,100-,88-,91+,119-,71+,121-
plasmid_6;154-,176-,84+,154+,161-,118-,105+,118+
plasmid_7;76+,120+,165+
plasmid_8;161+,154-,62+,169-,98-,112+
plasmid_9;158+,189+,172-,184-,111-,86+,146-
plasmid_10;67+,96-,87+
plasmid_11;116-,57+,146-
plasmid_12;113+,78+,141-
plasmid_13;115+,52+
plasmid_14;113+,83+,141-
plasmid_15;83+,141-
plasmid_16;125-,163-,12+,95-,26-,197-
plasmid_17;21-,178-,97-,36-,95-,98-,9-,95-,74-,102+,185+,77+,109+,41+,97+,24+,95-,37-,146-
plasmid_18;111-,173+,106-,95-,98-,65-,102+,185+,81-
plasmid_19;119-,8+,102+,185+,63-
plasmid_20;146+,108-,102+,185+,68+
plasmid_21;121+,180+,44+,102+,185+
plasmid_22;69-,109-,39+,98+,169+,13-,102+,23+
plasmid_23;197+,45+,98+,95+,61-,178-,97-,31+,102+,185+
plasmid_24;95+,58-,98+,95+,90+,102+,51+,197-
plasmid_25;121+,2-,38+,88+,22-,104-
plasmid_26;146+,20+,88+,80-,88+,70-
plasmid_27;34-,35+,109+,94-,146-
plasmid_28;116-,43-,109+,19-
plasmid_29;104+,110+,109+,49-
plasmid_30;169+,42-,98+,169+,59-
plasmid_31;121+,177+,56-,96+,4-,97+,178+,15+,97+
plasmid_32;28+,101+,151+,169-
plasmid_33;147-,25+,101+,50-
plasmid_34;99+,101+
plasmid_35;121+,181-,11-
plasmid_36;121+,177+,1-,169-
plasmid_37;121+
