plasmid_0;164+
plasmid_1;235-,169+,182+,309+,228+,235-,46-,235+,113+,110-,51-,250+,160+
plasmid_2;162+,250-,31-,142-,157+,200+,84+,82-,275-,233+,287-,68+,242-,172+,211+,116+,102+,149+,247-,97+
plasmid_3;141+
plasmid_4;237+,55+,68-,295-,114+,247+,148+,102-,118+,211-,265-
plasmid_5;113+,65+,235+,113+,47+,235+
plasmid_6;90-,103-,92+,163+,86-,239+,125+,127+,129-,238-,122-,244-,61-,146+
plasmid_7;249+,181+,45-,142-,156+,200+,83+,82-,276-,233+,287-,68+
plasmid_8;249+,181+,87+,241-,49+,119+,261-,253-,264+,231+
plasmid_9;140+,202+,185-,219-,34+,132+
plasmid_10;113+,67+,113-,235-,71+,235+
plasmid_11;251-,137+,30+,219+,186-,202-,152-,79-,73+,139+,70+,105+,22+
plasmid_12;146-,74-,244+,121-,238+,128+,127-,126-,239-,101+,163-
plasmid_13;167+,130-,111-,180-,88-,283-,217-,99+,191-
plasmid_14;68-,295-,189-,175+,80+,54+
plasmid_15;191+,107+,217+,282+,88+,179+,111+,131-,167-
plasmid_16;107+,217+
plasmid_17;107+
plasmid_18;113+,96+,113-
plasmid_19;64+
plasmid_20;237+,48+,265-,263+
plasmid_21;93-,103+,89+,134+
plasmid_22;256+,182+,307-,25+
plasmid_23;134+
plasmid_24;256+,182+,43-,79+,69+,42+,79-,195-,262+,119+,254+
plasmid_25;248+,37-,80+,16+,278+,281-
plasmid_26;78+,2+,80+,27-
plasmid_27;80+
plasmid_28;199+,77+
plasmid_29;63+,133+,9+,195+,69+,6-,105-,139-,12-
plasmid_30;136+,298+,104-,267+,204-,57+,201-,124-,120-,195+,69+,53+
plasmid_31;256+,182+,307-,10-,66+,44+,195+,69+,62+,153-
plasmid_32;176+,255+,60+
plasmid_33;60+
plasmid_34;39+,139+,105+,11+
plasmid_35;17-,66+,75-
plasmid_36;66+,5-
plasmid_37;115+
plasmid_38;256+,182+,310+,76+
plasmid_39;256+,182+,310+,3+
plasmid_40;284-,278-,181+,58-,100-
plasmid_41;284-,278-,181+,85-,181-
plasmid_42;132+
