plasmid_0;135+
plasmid_1;137+,25-,51+,165+,234+,232-,82+,217+,121+,200+,160+,216-,257-,136+,103+,187+,147+,209+,58+,258+,110+,68+,65-,51+,109-
plasmid_2;114+
plasmid_3;98+,258-,58-,47-,86-,126+,213+,189+,88+,183-,122-,192+,75-,151-,203-,105-,73-,211-,90-,85+,84-,78-,210+,174-,71+,162-
plasmid_4;221+,43-,96-,87+,42+,87+,55-,87+,56+,87+,61-,87-,81+,87+,2+,252-,251+
plasmid_5;248-,245-,155+,76-,206+,44+,117+
plasmid_6;113+,175-,157-,193-,24+,178-,237+,89+,264-,143-
plasmid_7;58+,172-,242+,70+,142+,141-,94+,171+,131-,212-
plasmid_8;169-,241+,181+,4-,91-,60+,112+,63-,67-,124-,175-,156+,193-,32-,106+
plasmid_9;43+,221-
plasmid_10;172-,243+,70+,140-,141-,93+,171+,130-
plasmid_11;93+
plasmid_12;137+,41+,155-,245+,248+
plasmid_13;234-,187-,104+,136-,259+,216+,159+,200-,120-
plasmid_14;132-,271-,22+
plasmid_15;215-,27-,69-,49+,155-,219+
plasmid_16;154-,17-,204+,33-,155-,219+
plasmid_17;155+,74+,155-,219+
plasmid_18;219+
plasmid_19;218+,34-,68+,14+,67-,39+,59+,67+,166-,9-,107-,54-
plasmid_20;12-,112-,91+,7+,59+,166-,231+,117+
plasmid_21;66+,170+
plasmid_22;89-,236+,178+,48-,173+,102+,101-,166+,59-,10-,91-,112+,36-,166+
plasmid_23;132-,271-,11+,57-,40+,166+,59-,62-,268-
plasmid_24;166+,59-,53+,127+
plasmid_25;52+,225+,152+
plasmid_26;52+
plasmid_27;262-,6-,57+,15+,87+,207-,148-
plasmid_28;87+,207-,148-
plasmid_29;64-,57+
plasmid_30;99+
plasmid_31;72-,271+,132+
plasmid_32;30+,69+,3-,271+,132+
plasmid_33;106+
