plasmid_0;186-,137+
plasmid_1;111+,188+,201+
plasmid_2;108-,121-,73+,157-,179+,199+,158-,173+,192+,58+,144+,56+,144-,99+,144+,124-
plasmid_4;117+,174+,168+,197+,165+,195+,72-,88+,105-,190+,131-,37-,138-,122+,175+,168+
plasmid_5;165-,197-,168-,109+,188+,201+,195-,165-,80-,186+,201+
plasmid_7;183+,201+,195-,165-,197-,168-,171-,85+
plasmid_8;200-,180-,157+,71+,167-,158+,200-,179-,157+,110+,183+,201+,195-,165-,197-,76-,63+,183+
plasmid_9;193-,51-,193+,173-,158+,200-,179-,157+,71+,167-,158+,199-,179-
plasmid_11;114+,195-,165-,197-,168-,130+,174+,168+
plasmid_12;168-,175-,146-,147+,160-,201+,195-,165-,197-,168-,130+,174+,168+
plasmid_13;133-,138+,84-,163-,145+
plasmid_16;60-,135-,70+,176-,163-,198-,50+,198+
plasmid_18;55+,190+,131-,191-,118+
plasmid_20;87+,188+
plasmid_21;166+,127-,166+,106+
plasmid_23;91+
plasmid_24;143+,75+,182-,154-,181+,112+
plasmid_25;102+
plasmid_26;86+
plasmid_27;78+
plasmid_28;158-,173+,192+,128+
plasmid_29;81+
plasmid_30;68+,157-,180+
plasmid_32;172-,107+,172+
plasmid_50;139+,187+
plasmid_52;134+
