plasmid_0;53+
plasmid_1;211+,157+,224-,35+,88+,97-,241-,56+,93+,110-,81+,60+,88+,43-,164+,232+,118+,87-,59-,241+
plasmid_3;111+,113-,81+,29+,243+,97+,111+,48+,87-,195-,207-,55+,176+,218+,106+,245+,200-,107-,129+,76+,203-,260+,204+,239+,186+,141+,206-,124+,129+,136+,187+,233-,119+,121+,171-,82-,152+,133-,181-,166+,149-,148+,183-,191+
plasmid_5;115+,229-,192+,63+,158-,122-,173-,140+,220+
plasmid_6;41+
plasmid_7;108+,127+,77+,203-,259-,204+,240+
plasmid_8;224-,49+
plasmid_9;84+,171+,120+
plasmid_10;52+,242+,97+,111+,51+,128-,162+,178-,66+,202-,168+,208-,231-,159+,172-,185-,143-
plasmid_11;197+,83+,134-,144+,185+,118+,87-,64-,163-,158-,123-,256-,173-,139+,78+,105-
plasmid_12;75-,81+,99-,57+
plasmid_13;205-,254-,221-,85+
plasmid_14;54+,193-,238+,111-,97-,242-,71+,118+,87-,86+,81+,89-
plasmid_16;70+
plasmid_17;80+
plasmid_18;205-,254-,221-,46+,221+
plasmid_19;211+,157+,223-,73+,220+
plasmid_20;72+
plasmid_21;91+,197-
plasmid_22;194+,227+,145-,40+,118+
plasmid_23;50-,100-,25+,112+,18-,219+,199+,213+,261+,79+,196-
plasmid_24;142+,206-,126-,127+,135+
plasmid_25;205-,254-,221-,33+
plasmid_26;92+
plasmid_39;79+,184-,102+
plasmid_40;156-,215-,175-,237+,252+,36+,244+,97+
plasmid_41;212+,157+,224-,225-,164+,180-,207-,138-,244+,97+
