plasmid_0;120+
plasmid_1;87+
plasmid_2;219+,171-,185+,86-,100+,72+,108-
plasmid_3;162+,42-,130-,162+,207-,59+,224-,131+
plasmid_4;81+,101-,95+,174+,130-,162+,207-,62+,134+,58-,97+,53+,109+,39+,224-,131+
plasmid_5;130-,162+,207-,62+,134+,174+,130-,143+,101-,126-,208-,114-,214-,142+
plasmid_6;140-,222-,181-,78+,124-
plasmid_7;69-,100-,113-,127-,71+,174+,130-,162+,207-,91+,108-
plasmid_8;207-,83+,174+,130-,162+,207-,91+,108-
plasmid_9;162-,130+,174-,112-,177+,79+,154+
plasmid_10;124+,204-,76+,154+
plasmid_11;98+
plasmid_12;145-,201+,67+
plasmid_13;145-,201+,60+,157+,167+,131+
plasmid_14;93+
plasmid_15;36+,104+,238+,225+,131+
plasmid_16;206-,51+,104+,9+,121-
plasmid_17;124+,204-,41-,92+,116-
plasmid_18;155-,133-,179-,190-,172-,111+,92+,34+,137-
plasmid_19;66+,100+,8+,99-,54+,92+,46-,145+
plasmid_20;6-,102-,23+,109+,138-
plasmid_21;142-,214+,114+,202-,30-,102+,209+,26+,101+,37-,97-,10-,212+
plasmid_22;176+,1-,102+,209+,17+
plasmid_23;213-,22+,102+,209+,7-
plasmid_24;89-,102+,209+,45-
plasmid_25;132+,19-,102+,209+
plasmid_26;186+,47+,101+,85-,102+,209+
plasmid_27;200-,52-,101+,65-
plasmid_28;48+,100+,21+,183-
plasmid_29;201+,31+,99-,15-,100+,29+,154+
plasmid_30;28+,232+,97+,88+
plasmid_31;61+,232+,97+,68+,204+,124-
plasmid_32;114+,202-,18-,97+,106-
plasmid_33;99+
plasmid_34;114+,202-,38+
plasmid_35;114+,208+,148+,125+,177+
plasmid_36;114+,139+,155-,133-,179-,191+,172-,183+
plasmid_37;137+,24+,176-
plasmid_38;137+,110+
