plasmid_0;113+,257+
plasmid_1;257-,138-,174+,255-,138-,184+,126+,253-
plasmid_2;191+,225+,103+,167+,122+,59-,314+,326-,272+,185+
plasmid_3;115+,245+,252-,169-,140+,145+,253-,239-,237-,307-,203-,262-,73+,128+,298+,185+
plasmid_4;191+,96+,308-,188+
plasmid_5;196-,340+,189-,303+,215-,72+,257+,262+,203+,307+,237+,81+
plasmid_6;317+,306-,88-,130+,97+,144+,317+,305+,147+,140-,156-,190-,304-,317-
plasmid_7;25+,128+,296+,64-,130-,80-,341-,189-,303+,215-,91+,215+,302+,189+
plasmid_8;123+,151+,139-,182-,85+,239-,235-,203-,262-,257-,58+,121+,39+
plasmid_9;198-,287-,90-,127-,117+,253-,239-,237-,307-,203-,262-,257-,148+,215+,303-,189+,341+,196+,114-,273-,9-,139-,153+,175+,111-,178-,309-,208+
plasmid_10;140+,87+,156+,140+,79-,196-,341-,189-,302-,215-,307-,203-,273-,325-,257-,167-,61-
plasmid_11;162-,139-,182-,98+,156+,140+,87+,156+
plasmid_12;87+
plasmid_13;175-,153-,139+,263-,171+,82+
plasmid_14;227-,176+,329-,200-,279+
plasmid_15;186+,75+,246+,268+,265+,269+,238-,331-,212+,282-
plasmid_16;18-,119-,21+,297-,160+,194+,128-,33+,202-
plasmid_17;38+,119+,35-,139-,153+,175+
plasmid_18;158-,41-,119+,11-
plasmid_19;158-,135+,144-,63+,119+,69+
plasmid_20;164+,219+,53+,144+
plasmid_21;186+,316-,219+,70-
plasmid_22;28+,144+
plasmid_23;158-,26+,144+
plasmid_24;313+,44-,121+,13-,108+,84+,127+,76+,144+
plasmid_25;162-,267-,23-,144+
plasmid_26;31+,334+,121+,112-,144+
plasmid_27;122+,22-,267+,162+
plasmid_28;122+,99-,127+,106+,128+,194-,160-
plasmid_29;173-,128+,296+,15-,139-,182-,29+,294+
plasmid_30;182-,45-,182+
plasmid_31;6-,182+
plasmid_32;152+,182+
plasmid_33;43-,108+,54-,260+
plasmid_34;108+
plasmid_35;162-,267-,71-,121+,2-
plasmid_36;142-,121+,78+,291+
