plasmid_0;113+,52+
plasmid_1;187-,132+,100+,97+,71+,123+
plasmid_2;134-,184+,114-,84+,155-,141-,162-
plasmid_3;104+,6+,98+,33-,106+,61+,132-
plasmid_4;108+,69+,108-
plasmid_5;77-,111+,147+,62+,174+,119+,180-
plasmid_6;111+,147+,50+,127+,111+,37+,124+,99-,144-,114-,177-,40+,134+
plasmid_7;59+,174+,119+,180-
plasmid_8;125-,75+,127+,111+,147+,57+,127+
plasmid_9;78+,81+,45-,97+,68+,125+
plasmid_10;146+,48+,125+
plasmid_11;180+,119-,174-,92-,81-,63+,134+
plasmid_12;134-,66+,173-,104-
plasmid_13;70+
plasmid_14;74+
plasmid_15;80+
plasmid_16;161-,193+,171-,145-,165+,198-,108+,41+,109-
plasmid_17;174-,43-,98+,15+,91+,83+,109-
plasmid_18;97-,20-,86-,87+,51+,91+,38-,98+,10+,98+,5+,97+,21-
plasmid_19;102-,55+,98-,90-,98+,35+,87-,86+,175-,18+,109-
plasmid_20;98+,73-,98-
plasmid_21;118+,113-,72+,81+
plasmid_22;104+,173+,76-,91+,67-,125+
plasmid_23;91+,42+,156+,87+,31+
plasmid_24;125-,29-,85+
plasmid_25;109+,32-,85+
plasmid_26;158+,11-,86+,175-,22-
plasmid_27;16+,86+,175-,4-
plasmid_28;19-,156+,87+,12-,128+
plasmid_29;26+,156+,87+,56-,87-
plasmid_30;39-,156+,87+,9-
plasmid_31;8+,156+,87+,34+
plasmid_32;36-,156+,87+,60-,174+
plasmid_33;47+,156+,87+,53+,102-
plasmid_34;88+
plasmid_35;101+
