plasmid_0;97+,173+
plasmid_1;156+,197+,87+,127-,162+,113-,51+,227+,166-,183+,152+,234-
plasmid_2;131+,218+,86+,218-
plasmid_3;207+,93+,110-,137+,173+,193-,99-,124+,158-,173+,194-,190-,188-,124-,68+,169+,188+
plasmid_4;207+,95+,207-
plasmid_5;156+,82+,125-
plasmid_6;200+,164+,196-,187-,169+,188+,190+,193+,173-,88+,232-,172+
plasmid_7;138-,79-,56+,107+,120-,235+,187-,169+,188+,190+,194+,173-,59+,209+,117+,210+,78-
plasmid_8;217+,26+,116-
plasmid_9;90-,210-,117-,209-,129+,173+,194-,190-,188-,169-,187+,235-
plasmid_10;207+,71+,140-,69-,112-,67+
plasmid_11;54+,127-,161-,113-,121+,173+,194-,190-,188-,169-
plasmid_12;190+,194+,173-,76+,207-
plasmid_13;189-,149+,199-,182+,89+,131-
plasmid_14;219-,94-,112+,75+,216+,141+
plasmid_15;172-,232+,221-,61+,116-
plasmid_16;98+,112-,101+
plasmid_17;163+,47+,107-,83+
plasmid_18;132+,62+,199+,148-,189+
plasmid_19;139+
plasmid_20;233-,164+,168+,144+,208-,117+
plasmid_21;84+
plasmid_22;66+
plasmid_23;134+,30-,106+,12+
plasmid_24;50+,209+,117+
plasmid_25;128+,11+,107-,92+,108-,143-,209+,117+
plasmid_26;140+,2-,109+,39-,132-
plasmid_27;65+,109+,80-,238-
plasmid_28;182+,27+,109+,20-,106-,24-,106-,103+,105-,23-,128-
plasmid_29;141-,77-,109+,37+,108-,151-,138+
plasmid_30;177-,70+,107+,8+,109+,73-,107-,42-,106+,58+,132-
plasmid_31;141-,216-,55+,110+,10+,100+
plasmid_32;226+,32-,108+,16+,223+
plasmid_33;126+,44-,112+,74-,142-
plasmid_34;18-,106-,15+,106+,85-,198-
plasmid_35;106+,60-
plasmid_36;141-,215+,33+,105+,136+,177+,178-,126+,31+,107+,46+,107+,25-,138+
plasmid_37;142+,5+,107+,21+,141+
plasmid_38;35-,107+,22+,138+
plasmid_39;133+,36-,107+,72-,126-
plasmid_40;105+
plasmid_41;221-,226+,7+,214+,141+
plasmid_42;45+,215-,141+
plasmid_43;216+,141+
