plasmid_0;97+,173+
plasmid_1;207+,93+,110-,137+,173+,193-,99-,124+,158-,173+,194-,190-,188-,124-,68+,169+,188+
plasmid_2;139+,219+
plasmid_3;156+,197+,87+,127-,162+,113-,51+,227+,166-,183+,152+,234-
plasmid_4;131+,218+,86+,218-
plasmid_5;207+,95+,207-
plasmid_6;156+,82+,125-
plasmid_7;233-,164+,196-,187-,169+,188+,190+,193+,173-,76+,207-
plasmid_8;217+,26+,116-
plasmid_9;67-,112+,69+,140+,71-
plasmid_10;173-,83-,107+,120-,235+,187-,169+,188+,190+,194+,173-,59+,209+,117+,210+,78-
plasmid_11;235+,187-,169+,188+,190+,194+,173-,98+,112-,94+,219+
plasmid_12;235+,187-,169+,188+,190+,194+,173-,88+,232-,172+
plasmid_13;189-,149+,199-,182+,89+,131-
plasmid_14;90-,210-,117-,209-,129+
plasmid_15;54+,127-,161-,113-,121+
plasmid_16;138-,79-,56+,107+,47-,163-
plasmid_17;234+,152-,183-,166+,228+,101-,112+,75+,216+,141+
plasmid_18;189-,148+,199-,182+,91+,231-,145+
plasmid_19;132+,62+,199+,148-,186+,152-,195+
plasmid_20;172-,232+,221-,61+,116-
plasmid_21;66+
plasmid_22;84+
plasmid_23;172+
plasmid_24;50+,209+,117+
plasmid_25;200+,164+,168+,144+,208-,117+
plasmid_26;159-,198+,238+,204+,213+,181+,1+,209+,117+
plasmid_27;131+
plasmid_28;169+
plasmid_29;113+
plasmid_30;125+,4+,145+
plasmid_31;125+,225-,57-
plasmid_32;49+,140+,2-,109+,39-,132-
plasmid_33;65+,109+,80-,238-
plasmid_34;27+,109+,20-,106-,103+,105-,23-,128-
plasmid_35;141-,77-,109+,37+,108-,32+,226-
plasmid_36;177-,70+,107+,8+,109+,73-,107-,42-,106+,58+,132-
plasmid_37;138-,151+,108+,92-,107+,11-,128-
plasmid_38;143+,108+,16+,223+
plasmid_39;134+,30-,106+,24+,106+,85-,198-
plasmid_40;60+,106-,15+,106+,18+
plasmid_41;106+,12+
plasmid_42;216-,55+,110+,10+,100+
plasmid_43;159-,111+,177+,178-,126+,31+,107+,46+,107+,25-,138+
plasmid_44;147+,142+,5+,107+,21+,141+
plasmid_45;35-,107+,22+,138+
plasmid_46;156+,197+,115-,147-
plasmid_47;156+,197+,123-,185-,165+,134-,229+
plasmid_48;215+,33+,105+,136+,177+,178-,126+,44-
plasmid_49;178-,126+,72+
plasmid_50;228+,6+,145+
plasmid_51;116+,38-,145+
plasmid_52;145+
plasmid_53;116+,96-
plasmid_54;116+,64+
plasmid_55;105+
plasmid_56;147+,142+,19-
