plasmid_0;48+
plasmid_1;358-,94-,163+,105+,113+,321-,184+,52-,71+,297-,61-,66+,42+,66-,54+,70+,40+,253+,253+,256-,303-,43+,59+,26-,71+,265+,69-,265-
plasmid_2;19+
plasmid_3;109-,143+,121-,176-,191+,44+,70+,41-,155+,337+,277-,247-,157+,223-,202+
plasmid_4;28-,191-,177-,121+,142+,109+
plasmid_5;178-,99-,244+,167+,209-,47+,214-,89+,229+,128+,145+
plasmid_6;53+
plasmid_7;27+,239+,31+,70+,10+,155+,337+,276-
plasmid_8;145-,129-,229-,88+,214+,46+,209+,166+,244-,98+,178+
plasmid_9;55+
plasmid_10;109+
plasmid_11;94-,162+,105+,112-,322+,39-,71+,297-,300-,6-,67-,35+,70+,60+,66+,1+,233+,314+,245-
plasmid_12;210-,65-,285+,5+,353-,67+,4+,71+,297-,300-
plasmid_13;34-,71+
plasmid_14;38-,66+,23+,353-,67+,22+,250-,359+
plasmid_15;113+,322+,184+,49+,66+,7-
plasmid_16;317-,135-,203-,108-,161+,192+,204-,170-,25+,59+,57-,248+,158-,198+,219+,111+,237-,119+,261-
plasmid_17;194-,59+,16-,59-,58+,138-
