plasmid_0;113+,52+
plasmid_1;134-,184+,114-,84+,155-,141-,162-
plasmid_2;108+,69+,108-
plasmid_3;77-,111+,147+,62+,174+,119+,180-
plasmid_4;147+,57+,127+,111+,147+,50+,127+
plasmid_5;59+,174+,119+,180-
plasmid_6;78+,81+,45-,97+,71+,123+
plasmid_7;104+,6+,98+,33-,106+,61+,132-,187+
plasmid_8;146+,48+,125+
plasmid_9;180+,119-,174-,92-,81-,63+,134+
plasmid_10;132+,100+,97+,68+,125+
plasmid_11;125-,75+,127+,111+,37+,124+,99-,144-,114-,177-,40+,134+
plasmid_12;70+
plasmid_13;81+,118+,113-,72+
plasmid_14;118+,113-,72+
plasmid_15;134-,66+,173-,104-
plasmid_16;80+
plasmid_17;142-,166+,179+,139+,183+,181-,119-,174-,43-,98+,15+,91+,83+,109-
plasmid_18;39-,156+,87+,51+,91+,38-,98+,35+,87-,86+,20+,97+,4+
plasmid_19;5-,98-,90-,98+,10+,98+,55-,102+
plasmid_20;98+,73-,98-
plasmid_21;173+,76-,91+,67-,125+
plasmid_22;91+,25-
plasmid_23;91+,42+,156+,87+,31+
plasmid_24;125-,29-,85+
plasmid_25;109+,32-,85+
plasmid_26;26+,156+,87+,56+,87-,86+,175-,22-
plasmid_27;146+,7+,86+,175-,18+
plasmid_28;158+,11-,86+,175-
plasmid_29;19-,156+,87+,12-,128+
plasmid_30;8+,156+,87+,9-
plasmid_31;36-,156+,87+,34+
plasmid_32;125-,27+,156+,87+,60-,174+,119+,181+,182-,168-,174+
plasmid_33;64-,156+,87+,53+,102-
plasmid_34;156-,46-,119+,181+,182-,139-,178-,166-,142+
plasmid_35;119+,181+,182-,139-,178-,166-,142+
