plasmid_0;64+
plasmid_1;121+,71-,119+,91-,88+,75+,101-,18-,101-,55-,130-,159-,134+
plasmid_2;133-,164-,120-,89-,118-,72-,118+,161+,154-,176-,107+
plasmid_3;121+,179+,66+,173-,111+,191+,112+
plasmid_4;118-,105-,118+,161+,154-,176-,76+,120+,165+
plasmid_5;118-,67+,96-,87+,118+,161+,154-,62+,169-,98-,112+
plasmid_6;116-,30-,184-,111-,86+,146-
plasmid_7;104+,27+,88+,100+,189+,172-,171+,130-,160-,134+
plasmid_8;116-,57+,146-
plasmid_9;118+,161+,154-,176-,92+
plasmid_10;154-,176-,84+,154+,161-
plasmid_11;113+,78+,141-
plasmid_12;115+,52+
plasmid_13;113+,83+,141-
plasmid_14;83+,141-
plasmid_15;21-,178-,97-,36-,95-,98-,9-,95-,74-,102+,185+,77+,109+,41+,97+,24+,95-,26-,197-,111+,184+,172+,99+,101+,151+,169-,98-,39-,109+,69+
plasmid_16;158+,189+,172-,184-,111-,173+,106-,95-,98-,65-,102+,185+,81-
plasmid_17;119-,8+,102+,185+,63-
plasmid_18;146+,108-,102+,185+,68+,104-
plasmid_19;180+,44+,102+,185+
plasmid_20;184-,111-,197+,45+,98+,169+,13-,102+,23+,130-
plasmid_21;146+,37+,95+,58-,98+,169+,42-,98+,95+,61-,178-,97-,31+,102+,185+
plasmid_22;95+,90+,102+,51+,163+
plasmid_23;177+,56-,96+,4-,97+,178+,34-,35+,109+,94-,146-
plasmid_24;116-,43-,109+,19-,146-
plasmid_25;104+,110+,109+,49-
plasmid_26;2-,38+,88+,22-,104-
plasmid_27;146+,20+,88+,80-,88+,70-
plasmid_28;115+,114+
plasmid_29;146+,28+,101+,50-
plasmid_30;147-,25+,101+
plasmid_31;32+,97+,178+,15+,97+
