plasmid_0;66+
plasmid_1;115+,83-,370-,373+,341+,438+,326-,464-,181+,556-,216-,229+,31-,554-,483+,108+,62-
plasmid_2;478+,124+,222-,410-,491-,450-,466-,258-,449-,478+,77+,461+,367+,225-,83-,370-,373+,341+,438+,326-,463+,181+,556-,216-,229+
plasmid_3;128-,140-,164+,202+,389-,530+,303-,380-,363+,136+,220-,26-,206+
plasmid_4;88-,70+,315+,88-,201-,220+,135+
plasmid_5;28-,554-,483+,108+,69+
plasmid_6;529+,99-,184-,90+,232+,472+,365-,434-,411-,499-,455-,467-,384+,479+,440+,75+,410-,408+,466-,258-,449-,476+,333-,296-,267-,378+,332+,250+,91+,67-,514+,295-
plasmid_7;269+,170+,317-
plasmid_8;269+,171-,105-,78+,160-,127-,455-,467-,384+,480-,441+,63+
plasmid_9;236-,82+,296-,268-,378+,445-,476-,449+,452-,276+,398+,470+,475+,103+,471+,468+,398-,277-,452+
plasmid_10;127+,160+,442-,71+,133+,171-,105-,52-,437+,377+,344+
plasmid_11;295+,58+,344+
plasmid_12;197-,60+,139+,404-
plasmid_13;80+
plasmid_14;199-,507+,286+,522+,266+,328-,197-,81-,478-,449+,452-,277+,398+,468-,475+,2-,184-,232+,473+,365-,434-,411-,11-,498-,108+,8-,183-,29+,471+,468+
plasmid_15;129-,421+,7+,478-,449+,452-,277+,398+,468-,475+,22-,423-,447-,448+,294+,358+
plasmid_16;129-,5+,478-,449+,452-,277+,398+,468-,475+,24-,418-,422+,371+,159-,486-,457+,301+,539-,275-,425-,126+,157-,390-,349-,523+,35+,102-,94+
plasmid_17;571+,402+,18-,478-,449+,452-,277+,398+,468-,475+,47+,360-,511+,330-,430-,149+
plasmid_18;449+,452-,277+,398+,468-,475+
plasmid_19;449+,452-,276+
plasmid_20;37-,108-,498+,551-,543-,50+,471+
plasmid_21;223-,177+,261-,481-,366-,59+,139+
plasmid_22;360+,437-,458+,225+,367-,461-,65+,206+
plasmid_23;315+
plasmid_24;464+,326+,39+,105+,171+,133-,3+,318+,116+,403+,113+,243+,257-,287-
plasmid_25;216-,229+
plasmid_26;344+
plasmid_27;250+,91+
plasmid_28;562+,250+,446-,366+,482-,261+,176+,223+
plasmid_29;334-,525-,142+,314+,440-,480+,384-,469-,520-,160+,442-
plasmid_30;145+,164+,196-,389-,535+,303-,381+
plasmid_31;120+,33-,133+,171-,317-
plasmid_32;206-,477-,512-,330-,431+,149+
plasmid_33;295+,514-,13-,108-,483-,554+
plasmid_34;175+
