plasmid_0;75+
plasmid_1;91+,58+,111+,203+,188+,140+
plasmid_2;148-,90+,105-,61+,111+
plasmid_3;143+,169+,168+,59-,86-,53+,160+,91+,37+,129-
plasmid_4;65+,160+,91+,104+,57+,91-,48-,196-,81-,47-,111+,124+
plasmid_5;160-,86-,93-,91-,160-,87+,91-
plasmid_6;160-,69+,79+,105+,91-,160-,46+,160+
plasmid_7;160-,69+,79+
plasmid_8;77+,104-
plasmid_9;143+,169+,173-,41+,185-,145-,158-,134+,155-,194-,147-,96-,167+
plasmid_10;143+,169+,174-,38-,89-,8-,74-,106+,118+,76+,195-,81-,56+,70-,98+,145-,162-,110+,129-
plasmid_11;169+,176+,50-,74-,106+,118+,20+,164-,169-,143-
plasmid_12;130+,71-,4-,74-,106+,118+,31+,209+,135+,187+,119+,207+,78+
plasmid_13;169+,173-,66+,168-,169-,143-
plasmid_14;143+,170+,171-,34+,70-,22+,174+,169-,143-
plasmid_15;129+,49+
plasmid_16;129+,35-,169-,143-
plasmid_17;129+
plasmid_18;101+,179+,103+,21+,118-,74+,1+,111+,124+
plasmid_19;136-,182+,199-,165-,96+,147+,194+,154-,134-,204+,162+
plasmid_20;94-,210+,150+,208+,180-,153-,192-,12+,135+,187+,119+,206+,78+
plasmid_21;94-,210+,150+,166+,153-,192-,149-,19+,209+,135+,187+,119+,206+,78+
plasmid_22;187+,119+,207+,78+
plasmid_23;140-,177-,111-,2-,139+,181+,208-,150-,211-,94+
plasmid_24;7-,139+,166-,150-,211-,94+
plasmid_25;139+,166-,150-,211-,94+
plasmid_26;136-,183+,199-,167-,96+,81+
plasmid_27;40+,142+,85+,55+,67-,176-
plasmid_28;140-,177-,111-,15-,142+,85+,14+,175-,169-,143-
plasmid_29;143+,169+,175+,23+,159+,115+,142+,85+,217+,109-,117-,82-
plasmid_30;140-,177-,111-,92-,85+,88-,52+,81+
plasmid_31;72-,80+,13-,73-
plasmid_32;140-,177-,111-,51+,80+,16+,171+
plasmid_33;185+,25-,111+,205-,188+,140+
plasmid_34;143+,170+,171-,5-,111+,205-,188+,140+
plasmid_35;43-,111+,205-,188+,140+
plasmid_36;24+,111+,205-,188+,140+
plasmid_37;153-,193+,36+,111+,205-,188+,140+
plasmid_38;198+,27+,111+,205-,188+,140+
plasmid_39;111-,11+,111+,205-,188+,140+
plasmid_40;111-,42-,111+
plasmid_41;149-,54+,111+
plasmid_42;183-,136+
